Source,Company,Job ID,Title,Location,URL,Score,First Seen,Last Seen
greenhouse,Revolution Medicines,7568263003,"Senior Manager, Marketing Operations, Lung and Pan Tumor","Redwood City, California, United States",https://www.revmed.com/careers-list/?gh_jid=7568263003,-2,2025-12-27T11:13:41+00:00,2025-12-27T11:13:41+00:00
workday,Illumina,/job/US---California---San-Diego/Senior-Product-Marketing-Manager_41902-JOB-1,Senior Product Marketing Manager,US - California - San Diego,https://illumina.wd1.myworkdayjobs.com/job/US---California---San-Diego/Senior-Product-Marketing-Manager_41902-JOB-1,-3,2025-12-27T11:13:40+00:00,2025-12-27T11:13:40+00:00
workday,Illumina,/job/US---California---San-Diego/Senior-Product-Marketing-Manager_41906-JOB-1,Senior Product Marketing Manager,US - California - San Diego,https://illumina.wd1.myworkdayjobs.com/job/US---California---San-Diego/Senior-Product-Marketing-Manager_41906-JOB-1,-3,2025-12-27T11:13:40+00:00,2025-12-27T11:13:40+00:00
workday,Illumina,/job/US---California---San-Diego/Senior-Marketing-Project-Manager_41989-JOB,Senior Marketing Project Manager,US - California - San Diego,https://illumina.wd1.myworkdayjobs.com/job/US---California---San-Diego/Senior-Marketing-Project-Manager_41989-JOB,-3,2025-12-27T11:13:40+00:00,2025-12-27T11:13:40+00:00
workday,Illumina,/job/India---Bengaluru---Embassy-One-Complex/Sr-Sales-Specialist--Single-Cell-and-Spatial-Transcriptomics--Multiomics-_41826-JOB,"Sr Sales Specialist, Single Cell and Spatial Transcriptomics (Multiomics)",India - Bengaluru - Embassy One Complex,https://illumina.wd1.myworkdayjobs.com/job/India---Bengaluru---Embassy-One-Complex/Sr-Sales-Specialist--Single-Cell-and-Spatial-Transcriptomics--Multiomics-_41826-JOB,-5,2025-12-27T11:13:40+00:00,2025-12-27T11:13:40+00:00
workday,Sanofi,/job/Milano/Regional-Public-Affairs-Manager---Lombardia_R2824663-1,Regional Public Affairs Manager - Lombardia,Milano,https://sanofi.wd3.myworkdayjobs.com/job/Milano/Regional-Public-Affairs-Manager---Lombardia_R2824663-1,-5,2025-12-20T02:42:51+00:00,2025-12-20T02:42:51+00:00
workday,Sanofi,/job/Montpellier/Sciences-Analytiques---Expert-en-Dissolution--Principal-scientist_R2801522-1,Sciences Analytiques – Expert en Dissolution/ Principal scientist,Montpellier,https://sanofi.wd3.myworkdayjobs.com/job/Montpellier/Sciences-Analytiques---Expert-en-Dissolution--Principal-scientist_R2801522-1,-5,2025-12-20T02:42:51+00:00,2025-12-20T02:42:51+00:00
greenhouse,Maze Therapeutics,8350462002,"Senior Clinical Trial Manager, CKD","South San Francisco, CA",http://www.mazetx.com/careers/?gh_jid=8350462002,-6,2025-12-27T11:12:27+00:00,2025-12-27T11:12:27+00:00
greenhouse,Arc Institute,5744027004,Facilities Operations Manager,"Palo Alto, CA",https://job-boards.greenhouse.io/arcinstitute/jobs/5744027004,-6,2025-12-27T11:12:24+00:00,2025-12-27T11:12:24+00:00
avature,Broad Institute,https://broadinstitute.avature.net/en_US/careers/JobDetail/Director-Operations-KCO-and-Xavier-Lab/21180,"Director, Operations - KCO and Xavier Lab",,https://broadinstitute.avature.net/en_US/careers/JobDetail/Director-Operations-KCO-and-Xavier-Lab/21180,-10,2025-12-27T11:14:20+00:00,2025-12-27T11:14:20+00:00
smartrecruiters,Lawrence Livermore National Laboratory,3743990010863686,Occupational Health Nurse Case Manager & Clinic RN ,"Livermore, us",https://api.smartrecruiters.com/v1/companies/LLNL/postings/3743990010863686,-10,2025-12-27T11:13:41+00:00,2025-12-27T11:13:41+00:00
smartrecruiters,Lawrence Livermore National Laboratory,3743990010851331,Biosciences and Biotechnology Division Graduate Intern - Summer 2026,"Livermore, us",https://api.smartrecruiters.com/v1/companies/LLNL/postings/3743990010851331,-10,2025-12-27T11:13:41+00:00,2025-12-27T11:13:41+00:00
smartrecruiters,Lawrence Livermore National Laboratory,3743990010851319,Biosciences and Biotechnology Division Undergraduate Intern - Summer 2026,"Livermore, us",https://api.smartrecruiters.com/v1/companies/LLNL/postings/3743990010851319,-10,2025-12-27T11:13:41+00:00,2025-12-27T11:13:41+00:00
smartrecruiters,Lawrence Livermore National Laboratory,3743990010851346,IT Business Systems Analyst Undergraduate Intern - Summer 2026,"Livermore, us",https://api.smartrecruiters.com/v1/companies/LLNL/postings/3743990010851346,-10,2025-12-27T11:13:41+00:00,2025-12-27T11:13:41+00:00
smartrecruiters,Lawrence Livermore National Laboratory,3743990010829377,Reaction Kinetics - Postdoctoral Researcher,"Livermore, us",https://api.smartrecruiters.com/v1/companies/LLNL/postings/3743990010829377,-10,2025-12-27T11:13:41+00:00,2025-12-27T11:13:41+00:00
greenhouse,Revolution Medicines,7571804003,"Executive Director, Marketing Europe","Basel, Basel-Stadt, Switzerland",https://www.revmed.com/careers-list/?gh_jid=7571804003,-10,2025-12-27T11:13:41+00:00,2025-12-27T11:13:41+00:00
workday,Illumina,/job/India---Bengaluru---Embassy-One-Complex/India---SEA-Subregional-Marketing-Manager_41997-JOB,India & SEA Subregional Marketing Manager,India - Bengaluru - Embassy One Complex,https://illumina.wd1.myworkdayjobs.com/job/India---Bengaluru---Embassy-One-Complex/India---SEA-Subregional-Marketing-Manager_41997-JOB,-20,2025-12-27T11:13:40+00:00,2025-12-27T11:13:40+00:00
lever,Delfi Diagnostics,20262c90-8ad4-4a31-a538-a3934c43f772,Sr Staff/ Principal Program Manager  - IVD Development,"Palo Alto, CA",https://jobs.lever.co/delfidiagnostics/20262c90-8ad4-4a31-a538-a3934c43f772,-26,2025-12-27T11:13:42+00:00,2025-12-27T11:13:42+00:00
workday,Illumina,/job/China---Shanghai---Remote/Staff-Field-Application-Scientist--CEC_41265-JOB-1,"Staff Solution Marketing Manager, Multi Omics",China - Shanghai - Remote,https://illumina.wd1.myworkdayjobs.com/job/China---Shanghai---Remote/Staff-Field-Application-Scientist--CEC_41265-JOB-1,-29,2025-12-27T11:13:40+00:00,2025-12-27T11:13:40+00:00
workday,Illumina,/job/China---Shanghai/XMLNAME-5594c-CN1-Staff-Product-Marketing-Manager_41099-JOB-1,5594c-CN1 Staff Product Marketing Manager,China - Shanghai,https://illumina.wd1.myworkdayjobs.com/job/China---Shanghai/XMLNAME-5594c-CN1-Staff-Product-Marketing-Manager_41099-JOB-1,-30,2025-12-27T11:13:40+00:00,2025-12-27T11:13:40+00:00
